rating,sxxy#0756,Joggelli#4076,Steph#2429,Bandit#8892,Big Beef#6112,slowpigeon#9055,Brandon Cathcart#1753,smilingtaco#6474,heidijo#4535,name,grybyx#4558,Expendable#3212,ryanismyname#2926,Melatron1#5879,emma#0058,sfung#2723,Mela (WitcherEskel)#5879,cheekyburrito#0849,loot#6404,salsquirrel#2723,twindarkpanda#9877,Aznfro#0939,thelatte#9504,DocDelight#0883,beefsen#0,sxxy#0,brandoshizzle#0,pallydinmeg#0,greenbastard#7301,YOU#4004,Brandon Cathcart
67,86,52,90,83,70,63,50,62,50,9,,,,,,,,,,,,,,,,,,,,,
67,54,88,,,45,69,,50,,A Dog's Purpose,100,66,,,,,,,,,,,,,,,,,,,
60,49,50,70,45,,,77,,,After the Dark,42,,90,,,,,,,,,,,,,,,,,,
85,82,86,90,,,,84,,,Amélie,,90,80,,,,,,,,,,,,,,,,,,
73,50,,,,80,79,67,85,,Apollo 13,71,82,70,69,60,90,,,,,,,,,,,,,,,
79,83,,,,78,,,73,,Atlantis: The Lost Empire,87,78,80,,,,,,,,,,,,,,,,,,
89,100,95,93,89,95,,95,80,90,Baahubali 2: The Conclusion,98,70,75,,,,,,,,,,,,,,,,,,
94,100,99,99,94,90,,97,85,90,Baahubali: The Beginning,100,,,,,,,,,,,,,,,,,,,,
60,34,70,,78,,,47,45,,Bad Boys,79,,70,,,,,,,,,,,,,,,,,,
70,70,74,75,,60,,,,,Bajirao Mastani,70,71,,72,,,,,,,,,,,,,,,,,
79,94,70,,,,,78,,80,Batman Forever,75,,80,,,,,,,,,,,,,,,,,,
49,44,,69,55,,60,,48,,Batman & Robin,40,,50,,55,,25,,,,,,,,,,,,,,
67,28,,88,,65,,89,,55,Bee Movie,,73,,,60,,,80,,,,,,,,,,,,,
88,91,,88,,88,76,91,88,95,Best In Show,,,90,,,,,,,,,,,,,,,,,,
72,87,,81,61,65,80,,65,,Beverly Hills Cop,85,70,65,70,66,,,73,,,,,,,,,,,,,
84,95,,97,77,,83,93,,89,Booksmart,,,,60,,,,,,,,,,,,,,,,,
71,87,,80,,70,69,,65,,Brassed Off,66,78,,,,,,70,50,78,,,,,,,,,,,
77,79,,94,,50,71,85,,86,Chicken Run,,,,,,,,,,,,,,,,,,,,,
63,19,,,,23,71,75,,70,Children of Men,,70,85,,84,,,,60,76,,,,,,,,,,,
73,90,87,73,95,70,75,85,,70,Chitty Chitty Bang Bang,,,20,,,,,,,,,,,,,,,,,,
79,92,87,80,,63,78,60,,85,City of God,97,73,75,,79,,,,,,,,,,,,,,,,
81,65,,70,,98,89,,,,Clue,82,84,80,,,,,,,,,,,,,,,,,,
76,77,,,,65,75,86,83,78,Cool Runnings,80,72,,,,,,,,,76,,,,,,,,,,
84,88,,82,,70,87,92,76,90,Coraline,,77,95,,,,,,,,,,,,,,,,,,
85,98,,74,,85,,,90,70,Die Hard,,,85,,,,,78,,,100,,,,,,,,,,
83,48,88,85,,98,75,83,84,90,District 9,82,86,95,,,,,,,,,,,,,,,,,,
27,5,23,,69,0,3,,32,20,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,64,,,,,,,,,,,,,,,,,,,,
50,12,,47,,50,74,,39,,Down Periscope,66,65,,,,,,,,,,,,,,,,,,,
54,55,,,,50,54,,,40,Dredd,55,68,65,35,65,,,,35,,,60,74,,,,,,,,
85,96,,98,,88,79,93,80,95,Encanto,77,,80,75,85,,,85,,,,,,,,,,,,,
91,99,,98,86,80,84,95,,100,Everything Everywhere All at Once,95,75,,100,,,,,,,,,,,,,,,,,
61,51,,,58,,,67,,60,Exam,,,65,,65,,,,,,,,,,,,,,,,
78,92,,,78,65,,97,86,90,Ex Machina,55,,,,91,,65,70,,,,,,,,,,,,,
58,40,,31,65,,,55,70,60,Face/Off,,,85,,,,,,,,,,,,,,,,,,
68,72,,80,,60,80,,68,,Falling Down,52,66,,,,,,,,,,,,,,,,,,,
84,79,,83,78,75,93,81,91,90,Fargo,72,88,95,,,,,,,,,,,,,,,,,,
65,22,84,,83,80,65,43,68,80,Flubber,,,60,,,,,,,,,,,,,,,,,,
84,95,92,,91,,,75,81,75,Galaxy Quest,,90,78,,,,,,,,,,,,,,,,,,
81,84,84,,,76,69,88,,85,Gattaca,71,81,80,,85,,90,,,,,,,,,,,,,,
75,91,,69,,60,71,,,,George of the Jungle,72,,70,85,85,,,,,,,,,,,,,,,,
64,20,,,,65,67,,,,Ghostbuster II,,80,,89,,,,,,,,,,,,,,,,,
61,7,75,27,73,85,,72,,85,Gremlins,,50,75,,,,,,,,,,,,,,,,,,
80,73,,77,64,,,95,74,100,Heathers,,,80,,,,,,,,,,,,,,,,,,
54,3,,,,79,35,99,,,He-Man & She-Ra: A Christmas Special,,,,,,,,,,,,,,,,,,,,,
52,0,,19,77,15,71,60,61,80,Hocus Pocus,69,,70,,,,,,,,,,,,,,,,,,
78,98,,79,,65,75,77,78,97,Home Alone,75,85,67,75,65,,,78,,80,,,,,,,,,,,
83,78,,82,,,,99,70,95,Hot Rod,,62,95,,,,,,,,,,,,,,,,,,
66,24,72,80,45,85,,,,,How the Grinch Stole Christmas,94,80,50,,,,,,,,,,,,,,,,,,
46,42,75,74,,5,49,35,45,35,Idiocracy,78,62,15,,,,,,,,,,,,,,,,,,
65,27,76,70,58,50,,85,60,95,Into the Woods,,65,,,,,,,,,,,,,,,,,,,
62,1,,9,,85,,89,60,80,Italian Spiderman,91,75,50,97,45,,,,,,,,,,,,,,,,
64,6,68,70,76,85,,,60,90,James and the Giant Peach,65,60,,,,,,,,,,,,,,,,,,,
51,56,79,21,,65,72,35,63,0,Jingle All The Way,45,,75,,,,,,,,,,,,,,,,,,
57,41,,,,43,63,,,,Joe Dirt,80,56,,40,,,,,,78,,,,,,,,,,,
55,35,,,96,50,56,,,,Kazaam,44,61,,45,,,,,,,,,,,,,,,,,
95,99,,99,97,90,90,100,83,99,Klaus,,,97,100,,,,,,,,,,,,,,,,,
86,99,,99,83,50,,92,87,90,Kubo and the Two Strings,,,90,,,,,,,,,,,,,,,,,,
70,74,27,89,20,,,67,78,90,"Kumiko, The Treasure Hunter",100,,85,,,,,,,,,,,,,,,,,,
75,80,,74,63,75,,72,64,80,Labyrinth,75,77,70,100,80,,,,,,,,,,,,,,,,
80,76,,81,,99,86,95,65,85,Lightyear,75,59,,85,,,,,,80,,,,,,,,,,,
74,88,,88,35,80,60,89,,70,Mac and Me,,,85,,,,,,,,,,,,,,,,,,
77,93,70,97,80,45,73,85,71,98,Mean Girls,55,,85,,,,,,,,,,,,,,,,,,
76,57,,60,,75,59,86,100,75,Monty Python and the Holy Grail,84,77,70,100,70,,,,70,85,,,,,,,,,,,
73,71,,,,64,72,,,,movie Hitchhikers Guide to the Galaxy,85,,,,,,,,,,,,,,,,,,,,
43,8,50,30,40,,85,,60,,Muppet Treasure Island,14,,60,,,,,,,,,,,,,,,,,,
75,80,,81,30,,,79,90,80,Napoleon Dynamite,,,85,,,,,,,,,,,,,,,,,,
49,39,,,92,,,25,45,40,National Security,,,55,,,,,,,,,,,,,,,,,,
83,93,,83,72,85,,86,,80,Office Space,81,90,80,,84,,,,,,,,,,,,,,,,
77,95,,87,28,95,,82,,,Once,,,,,,,,,,,,,,,,,,,,,
87,99,88,95,,95,,71,,88,Onward,88,80,85,,,,,,,,,,,,,,,,,,
94,97,,100,,95,92,,88,,Over the Garden Wall,94,90,97,100,100,,,90,,91,,,,,,,,,,,
73,69,,81,,62,68,75,50,75,Over the Hedge,84,80,,76,,,,78,,88,,,,66,,,,,,,
74,17,,29,,90,,,91,95,Pan's Labyrinth,,85,,,93,,,92,,,,,,,,,,,,,
80,74,,,77,80,,85,82,85,Princess Bride,,,,,,,,,,,,,,,,,,,,,
81,52,,64,,87,84,87,,80,Princess Mononoke,88,,90,89,95,,,,,,,,,,,,,,,,
76,,,67,,,77,,,82,Ratatouille,,,,,,,,,,,,,,81,81,75,72,80,,,
60,43,,66,88,50,,85,53,60,Real Steel,,50,60,40,65,,,,,,,,,,,,,,,,
33,9,,26,32,30,66,34,,40,Return to Oz,,,,,,,,,,,,,,,,,,,,,
57,54,,,21,65,,87,,70,Rubber,,61,50,,50,,,,,,,,,,,,,,,,
66,23,73,40,,78,81,90,,80,Rudolph the Red-Nosed Reindeer,84,,50,,,,,,,,,,,,,,,,,,
79,85,,77,79,70,,,78,,Rush,84,,79,,,,85,,,,,,,,,,,,81,,
69,96,73,,76,,,25,69,,Rush Hour,76,,,,,,,,,,,,,,,,,,,,
77,77,,79,,82,72,93,70,,Sailor Moon S: Hearts in Ice,66,60,80,88,85,,,,,,,,,,,,,,,,
62,66,,70,,43,,70,60,,Samrat Prithviraj,70,,,,,,,57,,,,,,,,,,,,,
78,92,87,74,,,,,60,,Scent of a Woman,80,82,75,,75,,,,,,,,,,,,,,,,
45,14,60,30,23,65,45,69,,70,Scooby-Doo,33,,50,,,,,,,,,,,,,,,,,,
52,29,60,50,13,70,65,40,61,70,Scooby-Doo on Zombie Island,,69,,,,,,,,,,,,,,,,,,,
80,58,80,79,88,,,100,75,90,Scott Pilgrim vs The World,77,,,,,,,,,,,,,,,,,,,,
57,83,,,91,,,35,65,20,Shanghai Noon,,,50,,,,,,,,,,,,,,,,,,
73,46,75,50,44,88,92,87,88,,Shining,,,90,,,,,,,,,,,,,,,,,,
20,2,20,12,,65,15,,30,,Shrek the Halls,,,,2,,,,,,,,,,,,,,,,,
62,31,,,,83,67,,,,Silent Running,,53,60,,63,,,,74,65,,,,,,,,,,,
76,96,86,99,99,30,68,91,65,60,Smokey and the Bandit,79,74,75,,,,,,,,,,,,,,,,,,
66,21,90,73,82,45,,73,71,70,Space Jam,84,,60,,,,,,,,,,,,,,,,,,
73,76,,77,,70,69,85,68,,Stardust,74,65,,65,,,,75,,87,,,,,,,,,,,
69,25,,68,67,85,,,85,,Starship Troopers,,82,75,,,,,,,,,,,,,,,,,,
85,81,,73,,90,86,88,85,80,Star Wars,88,88,,89,85,,,,,,,,,,,,,,87,,
76,53,,61,,80,88,79,90,,Star Wars Episode V: Empire Strikes Back,84,88,,70,,,,75,75,,,,,,,,,,,,
76,59,,,,78,84,85,,75,Star Wars Episode VI: Return of the Jedi,77,82,,60,,,,,,80,,,90,69,,,,,,,
73,89,90,,78,70,,87,55,30,Super Troopers,88,,,,,,,,,,,,,,,,,,,,
80,85,,93,,73,,,50,,Sweeney Todd,,88,87,,88,,,,,,,,,,,,,,,,
66,70,,63,,61,65,,45,,Teenage Mutant Ninja Turtles,96,,,,,,,,,,,,,,,,,,,,
60,36,,,86,49,53,69,,55,Tenacious D in The Pick of Destiny,55,69,50,69,50,,,,,83,,,,,,,,,,,
74,81,,81,,80,76,,73,,The Adventures of Tintin,85,76,,,,,,83,,85,,,40,55,,,,,,,
45,,,70,,12,72,,,,The Bird With The Crystal Plumage,31,70,,20,,,,,,,,,,,,,,,,,
69,47,70,77,64,65,67,55,,80,The Boy and the Beast,90,75,75,,,,,,,,,,,,,,,,,,
64,26,,36,,80,66,89,,85,The Dark Crystal,72,,,65,,,,,64,,,,,,,,,,,,
83,89,85,79,,85,83,87,73,,The Emperor's New Groove,90,,,,,,,,,,,,,,,,,,,,
91,98,97,98,,88,94,95,95,100,The Grand Budapest Hotel,75,75,90,,,,,,,,,,,,,,,,,,
88,91,,90,100,,,95,70,95,The Greatest Showman,,,75,,,,,,,,,,,,,,,,,,
79,82,80,87,,70,78,59,86,90,The Incredibles,76,,85,,,,,,,,,,,,,,,,,,
72,62,75,44,65,80,,80,90,85,The Iron Giant,52,74,85,,,,,,,,,,,,,,,,,,
71,45,75,65,,82,69,87,80,80,The Lobster,53,69,80,,70,,,,,,,,,,,,,,,,
67,60,50,,97,65,,61,75,80,The Mask,52,,,,,,,,,,,,,,,,,,,,
51,15,68,46,,80,,,,85,The NeverEnding Story,38,,30,,,,,,,,,,,,,,,,,,
52,20,,35,,50,36,88,,90,The Peanut Butter Solution,60,30,,79,,,,,,,,,,34,,,,,,,
90,100,,82,92,85,,99,84,90,The Prestige,,,90,,,,,,,,,,,,,,,,,,
66,98,,70,,28,57,,79,,The Raid: Redemption,65,90,,35,,,,,,80,,,,,,,,,,,
81,84,,80,,,,86,,70,The Red Violin,,87,80,,80,,,,,,,,,,,,,,,,
73,71,,77,,85,68,61,61,,The Road to El Dorado,82,79,,,,,,,,,,,,,,,,,,,
44,4,7,12,0,98,20,87,65,80,The Room,44,50,70,,,,,,,,,,,,,,,,,,
72,63,,75,,67,75,,60,,The Secret World of Arrietty,73,79,,70,,,,77,,82,,,,,,,,,,,
49,72,53,22,18,75,,37,65,70,The Spongebob Squarepants Movie,19,,60,,,,,,,,,,,,,,,,,,
73,66,,50,,79,66,83,,75,The Thing,70,72,,78,,,,,99,,,,,68,,,,,,,
